NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,64,14.90777,136.74508,53.75553,258.51217,22.79146,2.71414,0.000007619
12,65,16.05567,126.52946,50.15017,264.63593,19.88807,2.83902,0.000010789
12,66,16.96019,133.92490,54.48479,259.52297,23.17743,3.32277,0.000029192
12,67,16.08321,173.10862,60.64493,285.81764,24.34481,2.87259,0.000011819
12,68,17.56649,147.09737,54.05514,284.36174,22.62155,3.09852,0.000007329
12,69,12.16585,98.67033,33.93645,193.40574,13.78156,2.16692,0.000009721
12,70,12.53565,90.68779,38.58619,205.74050,16.74612,2.31466,0.000005826
12,71,14.62352,112.47967,43.48321,239.57007,18.10218,2.47919,0.000014423
12,72,12.77717,117.97614,48.03625,217.07300,20.45724,2.40907,0.000014654
12,73,14.72241,132.54394,53.79553,255.77686,22.17261,2.74378,0.000007494
12,74,17.27222,118.08559,53.22787,297.49381,22.70153,3.23346,0.000011262
12,75,16.69113,156.15830,58.91131,276.54293,24.19718,2.89668,0.000012919
12,76,13.60614,133.48844,59.65112,232.79789,24.48795,2.55687,0.000009522
12,77,15.70504,157.89810,58.46629,276.62526,24.06033,2.86176,0.000009743
12,78,14.82500,154.41003,53.77703,252.93135,22.34611,2.76560,0.000007292
12,79,16.21280,152.80976,53.86819,266.46490,22.22645,2.97007,0.000007064
12,80,13.95184,112.74387,48.37113,235.71418,20.24128,2.56050,0.000007160
12,81,13.83077,123.84270,48.51212,227.31186,20.41351,2.52869,0.000007390
12,82,18.35770,150.96099,57.89457,305.21045,24.29548,3.32131,0.000017211
12,83,14.56953,131.83534,48.23937,239.72353,20.29282,2.65494,0.000006255
12,84,12.86997,123.63077,50.30079,216.87024,20.95793,2.46279,0.000010162
12,85,15.15081,157.73104,55.18093,250.51442,22.87510,2.95847,0.000012575
12,86,16.07650,136.78487,50.22345,256.39095,20.33117,2.82628,0.000006507
12,87,15.16864,133.34542,53.06951,255.66533,22.29665,2.73222,0.000015006
12,88,15.16330,149.46691,58.09724,257.00890,24.55049,2.75568,0.000011276
12,89,14.73819,141.91331,54.23203,252.89511,23.06251,2.76824,0.000013709
12,90,12.95214,100.67684,42.76624,207.15080,18.45084,2.31949,0.000004592
12,91,12.21905,161.92717,57.71859,219.02230,24.64660,2.57712,0.000011770
12,92,14.64384,123.91035,48.52149,241.14844,20.19530,2.61972,0.000005541
12,93,18.43947,135.61297,58.67055,302.31859,24.35952,3.26395,0.000012220
12,94,15.68928,151.59594,52.89145,256.64418,22.31052,2.82491,0.000010625
12,95,12.57475,135.85001,53.46657,216.01893,22.85446,2.46604,0.000010842
12,96,16.36106,123.72377,48.79252,258.19290,20.01756,2.80170,0.000019621
12,97,13.44133,131.79293,54.00733,224.98354,22.34450,2.46508,0.000022266
12,98,17.14765,164.47976,59.40955,283.15481,24.41524,3.05760,0.000010226
12,99,13.23311,131.31268,58.43962,229.82241,25.44853,2.83357,0.000008810
16,0,28.94610,193.73668,78.66069,465.30460,33.32638,5.06796,0.000039882
16,1,29.91113,215.80345,80.32725,474.78875,33.21026,5.06459,0.000011423
16,2,27.13698,212.02584,73.44847,425.05310,30.34409,4.48261,0.000016879
16,3,29.33850,177.82171,73.58534,475.05507,30.98115,5.00499,0.000018555
